numero_natinf;libelle_natinf;domaine_snc;theme_snc;action_snc
27986;NON PRESENTATION AUX AGENTS DE CONTROLE DU DERNIER RAPPORT D'INSPECTION D'UN MATERIEL DESTINE A L'APPLICATION DE PRODUITS PHYTOPHARMACEUTIQUES;Gestion qualitative de la ressource en eau;Pollutions diffuses;Assurer le respect des conditions d'emplois des produits phytopharmaceutiques afin de préserver la qualité de l'eau et des milieux aquatiques (SNC 2.5)
335;NON PRESENTATION DE CERTIFICAT DE VACCINATION ANTIRABIQUE VALABLE PAR PROPRIETAIRE OU DETENTEUR DE CARNIVORE DOMESTIQUE - DEPARTEMENT INFECTE DE RAGE;Assurer la protection des espèces animales et végétales;Faune sauvage captive;Contrôles sanitaires et faune captive (hors SNC)
21467;NON PRESENTATION, PAR PECHEUR, DE DOCUMENT VALABLE JUSTIFIANT DE SA QUALITE DE MEMBRE D'UNE ASSOCIATION AGREEE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
21468;NON PRESENTATION, PAR PECHEUR, DE DOCUMENT VALABLE JUSTIFIANT DU PAIEMENT DE LA REDEVANCE POUR PROTECTION DU MILIEU AQUATIQUE;Inactif-Police de la pêche;Inactif-Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles;Inactif-Lutte contre le braconnage des espèces migratrices (hors anguille) (action 3.7. de la SNC)
27634;NON RESPECT D'UN ARRETE PREFECTORAL ORDONNANT LA REMISE A L'EAU IMMEDIATE DU POISSON CAPTURE - EAU DOUCE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
29539;NON RESPECT D'UNE MESURE PREFECTORALE EDICTEE POUR ASSURER LA PREVENTION DES INCENDIES DE FORET, FACILITER LA LUTTE CONTRE CES INCENDIES OU EN LIMITER LES CONSEQUENCES;Inactif-Protection des habitats et patrimoine naturel;Inactif-Forêt;Inactif-Protection des milieux forestiers (dont lutte contre les incendies)
7926;NON RESPECT D'UNE PRESCRIPTION PREFECTORALE DE GESTION FORESTIERE AU VOISINAGE DES VOIES OUVERTES A LA CIRCULATION PUBLIQUE - PREVENTION DES INCENDIES DE FORET;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Protection des milieux forestiers (dont lutte contre les incendies)
27741;NON RESPECT DE SES OBLIGATIONS PAR LE TITULAIRE D'UN PLAN DE CHASSE INDIVIDUEL - CONTROLE DE L'EXECUTION DU PLAN;Assurer la protection des espèces animales et végétales;Chasse;Actions contrôles chasse hors priorités SNC
27745;NON RESPECT DES PRESCRIPTIONS DU SCHEMA DEPARTEMENTAL DE GESTION CYNEGETIQUE RELATIVES A LA SECURITE DES CHASSEURS ET DES NON CHASSEURS;Assurer la protection des espèces animales et végétales;Chasse;Sécurité à la chasse (SNC 4.5)
7402;PECHE A LA LIGNE DANS UN DISPOSITIF ASSURANT LA CIRCULATION DU POISSON DANS UN OUVRAGE DE RIVIERE - EAU DOUCE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20150;PECHE D'UN NOMBRE DE SALMONIDES SUPERIEUR A CELUI AUTORISE;Inactif-Police de la pêche;Inactif-Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles;Inactif-Contrôles ciblés : Période de reproduction d’espèces sensibles, TAC, braconnage des espèces non migratrices (hors SNC)
21593;PECHE DANS COURS D'EAU DOUCE DONT LE NIVEAU EST ABAISSE ARTIFICIELLEMENT;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
22279;PECHE DANS UN GRAND LAC INTERIEUR OU DE MONTAGNE EN INFRACTION A UN ARRETE PREFECTORAL - EAU DOUCE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20152;PECHE DE POISSON D'EAU DOUCE N'AYANT PAS LA TAILLE REGLEMENTAIRE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20155;PECHE EN EAU DOUCE A L'AIDE DE PROCEDE OU DE MODE DE PECHE PROHIBE;Inactif-Police de la pêche;Inactif-Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles;Inactif-Contrôles ciblés : Période de reproduction d’espèces sensibles, TAC, braconnage des espèces non migratrices (hors SNC)
7422;PECHE EN EAU DOUCE A LA LIGNE DANS UNE RESERVE TEMPORAIRE DE PECHE;Inactif-Police de la pêche;Inactif-Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles;Inactif-Contrôles ciblés : Période de reproduction d’espèces sensibles, TAC, braconnage des espèces non migratrices (hors SNC)
20157;PECHE EN EAU DOUCE AVEC FILET, ENGIN OU INSTRUMENT DE PECHE PROHIBE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20156;PECHE EN EAU DOUCE AVEC UN NOMBRE D'ENGINS OU D'INSTRUMENTS SUPERIEUR AU MAXIMUM AUTORISE;Inactif-Police de la pêche;Inactif-Anguille : contrôle des prélèvements et lutte contre les trafics de l'anguille;Inactif-Contrôle des prélèvements et lutte contre les trafics de l'anguille en eau douce (action 3.7 de la SNC)
20160;PECHE EN EAU DOUCE D'ESPECE DE POISSON DETERMINEE PAR ARRETE PREFECTORAL;Inactif-Police de la pêche;Inactif-Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles;Inactif - Contrôles ciblés : Période de reproduction d’espèces sensibles, TAC, ...
20162;PECHE EN EAU DOUCE DE 2EME CATEGORIE OU LE DROIT DE PECHE APPARTIENT A L'ETAT A PARTIR D'UN POINT D'ACCES PROHIBE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20158;PECHE EN EAU DOUCE EN TEMPS PROHIBE;Inactif-Police de la pêche;Inactif-Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles;Inactif-Contrôles ciblés : Période de reproduction d’espèces sensibles, TAC, braconnage des espèces non migratrices (hors SNC)
20166;PECHE EN EAU DOUCE PAR UNE PERSONNE N'APPARTENANT PAS A UNE ASSOCIATION DE PECHE AGREEE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20148;PECHE EN EAU DOUCE PENDANT LES HEURES D'INTERDICTION;Inactif-Police de la pêche;Inactif-Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles;Inactif - Lutte contre le braconnage des espèces piscicoles (hors anguille)
20165;PECHE EN EAU DOUCE SANS AVOIR ACQUITTE LA REDEVANCE POUR PROTECTION DU MILIEU AQUATIQUE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
7384;PECHE EN EAU DOUCE SANS LA PERMISSION DU TITULAIRE DU DROIT DE PECHE;Inactif-Police de la pêche;Inactif-Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles;Inactif-Contrôles ciblés : Période de reproduction d’espèces sensibles, TAC, braconnage des espèces non migratrices (hors SNC)
20143;PECHE EN EAU DOUCE, DE NUIT, EN TEMPS PROHIBE;Assurer la protection des espèces animales et végétales;Pêche;Lutte contre le braconnage des espèces piscicoles migratrices (SNC 4.7)
20142;PECHE EN EAU DOUCE, LA NUIT, A L'AIDE DE PROCEDE OU MODE DE PECHE PROHIBE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20141;PECHE EN EAU DOUCE, LA NUIT, AVEC FILET, ENGIN OU INSTRUMENT DE PECHE PROHIBE;Inactif-Police de la pêche;Inactif-Anguille : contrôle des prélèvements et lutte contre les trafics de l'anguille;Inactif-Contrôle des prélèvements et lutte contre les trafics de l'anguille en eau douce (action 3.7 de la SNC)
23518;PECHE ILLICITE EN EAU DOUCE AVEC PLUSIEURS LIGNES A PARTIR D'UNE ECLUSE OU D'UN BARRAGE SUR UNE DISTANCE DE 50 METRES;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20145;PECHE, DE NUIT, EN EAU DOUCE AVEC UN NOMBRE D'ENGINS OU D'INSTRUMENTS SUPERIEUR AU MAXIMUM AUTORISE;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
20168;PECHE, SANS REIMMERSION IMMEDIATE, DE POISSON MIGRATEUR N'AYANT PAS LA TAILLE REQUISE CAPTURE EN AMONT DE LA LIMITE DE SALURE DES EAUX;Assurer la protection des espèces animales et végétales;Pêche;Lutte contre le braconnage des espèces piscicoles migratrices (SNC 4.7)
34827;PRATIQUE DU NOURRISSAGE EN VUE DE CONCENTRER DES SANGLIERS SUR UN TERRITOIRE - GESTION DE LA CHASSE;Assurer la protection des espèces animales et végétales;Chasse;Actions contrôles chasse hors priorités SNC
10221;PRATIQUE IRREGULIERE DE JEU OU DE SPORT DANS UNE RESERVE NATURELLE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Réglementation réserves naturelles (SNC 5.1)
25914;PRATIQUE NON AUTORISEE DE JEU OU DE SPORT AU COEUR D'UN PARC NATIONAL;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Parcs nationaux (SNC 5.1)
26142;PRELEVEMENT DE CHAMPIGNONS, FRUITS OU SEMENCES DE BOIS OU FORET SANS AUTORISATION DU PROPRIETAIRE DU TERRAIN - VOLUME PRELEVE N'EXCEDANT PAS 10 LITRES;Hors domaine;Hors thème;[2025] Activités humaines réglementées dans les espaces ordinaires (déchets dans le milieu naturel au titre du code pénal)
26276;RECHERCHE, POURSUITE DE GIBIER A L'AIDE DE SOURCE LUMINEUSE SANS AUTORISATION;Inactif-Police de la chasse;Inactif-Police de la chasse et lutte contre le braconnage des espèces chassables;Inactif-Autres actions de police de la chasse hors SNC
11955;STATIONNEMENT D'ANIMAL DE CHARGE OU MONTURE SUR UNE ROUTE DE FORET INTERDITE A LA CIRCULATION;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Protection des milieux forestiers (dont lutte contre les incendies)
11952;STATIONNEMENT DE VEHICULE SUR UNE ROUTE DE FORET INTERDITE A LA CIRCULATION;Inactif-Protection des habitats et patrimoine naturel;Inactif-Circulation des engins motorisés dans les espaces naturels;Inactif-Contrôle de la circulation des VTM (hors espaces protégés)
7921;STATIONNEMENT DE VEHICULE SUR UNE VOIE PUBLIQUE MALGRE INTERDICTION LIEE A UN RISQUE EXCEPTIONNEL D'INCENDIE DE FORET;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Protection des milieux forestiers (dont lutte contre les incendies)
10204;STATIONNEMENT IRREGULIER D'ANIMAL DANS UNE RESERVE NATURELLE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Réglementation réserves naturelles (SNC 5.1)
25902;STATIONNEMENT IRREGULIER DE PERSONNE AU COEUR D'UN PARC NATIONAL;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Parcs nationaux (SNC 5.1)
10202;STATIONNEMENT IRREGULIER DE PERSONNE DANS UNE RESERVE NATURELLE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Réglementation réserves naturelles (SNC 5.1)
