Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
25412;Délit;BLESSURES INVOLONTAIRES AVEC INCAPACITE N'EXCEDANT PAS 3 MOIS PAR LA VIOLATION MANIFESTEMENT DELIBEREE D'UNE OBLIGATION DE SECURITE OU DE PRUDENCE DANS LE CADRE DU TRAVAIL;ART.222-20 C.PENAL.;ART.222-20, ART.222-44, ART.222-46 C.PENAL.
25413;Contravention de classe 5;OFFRE, DANS UN DEBIT DE TABAC, COMMERCE OU LIEU PUBLIC, DE PRODUIT DU TABAC A UN MINEUR;ART.R.3515-5, ART.L.3512-12 AL.1, ART.L.3512-1 C.SANTE.PUB.;ART.R.3515-5 C.SANTE.PUB.
25418;Délit;MISE A DISPOSITION POUR DES TRAVAUX TEMPORAIRES EN HAUTEUR D'EQUIPEMENT DE TRAVAIL NE PRESERVANT PAS LA SECURITE DU TRAVAILLEUR;ART.L.4741-1 AL.1 3°, ART.L.4321-1, ART.R.4323-61, ART.R.4323-62,ART.R.4323-63,ART.R.4323-64 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
25419;Délit;MISE A DISPOSITION POUR DES TRAVAUX TEMPORAIRES EN HAUTEUR, D'ECHELLE, ESCABEAU, MARCHEPIED OU CORDE NE PRESERVANT PAS LA SECURITE DU TRAVAILLEUR;ART.L.4741-1 AL.1 3°, ART.L.4321-1, ART.R.4323-81, ART.R.4323-82, ART.R.4323-83, ART.R.4323-84, ART.R.4323-85, ART.R.4323-86, ART.R.4323-87, ART.R.4323-88, ART.R.4323-89, ART.R.4323-90 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
25420;Délit;EMPLOI DE TRAVAILLEUR SUR CHANTIER DE BATIMENT ET TRAVAUX PUBLIC SANS MISE A DISPOSITION DE PLATE-FORME, PASSERELLE OU ESCALIER CONFORME AUX REGLES DE SECURITE;ART.L.4741-1 AL.1 5°, ART.R.4534-1, ART.R.4534-75,ART.R.4534-76, ART.R.4534-77,ART.R.4534-78, ART.R.4534-79,ART.R.4534-80,ART.R.4534-81,ART.R.4534-82,ART.R.4534-83,ART.R.4534-84 C.TRAVAIL.;ART.L.4741-1 AL.1,AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
25421;Délit;EMPLOI DE TRAVAILLEUR SUR CHANTIER DE BATIMENT ET TRAVAUX PUBLICS SANS MESURE DE PROTECTION CONTRE LES CHUTES DES PERSONNES;ART.L.4741-1 AL.1 5°, ART.L.4111-6 3°, ART.R.4534-1, ART.R.4534-3, ART.R.4534-4, ART.R.4534-5, ART.R.4534-6, ART.R.4534-21 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
25423;Délit;MISE A DISPOSITION DE TRAVAILLEUR D'EQUIPEMENT DE TRAVAIL MOBILE NE PRESERVANT PAS SA SECURITE;ART.L.4741-1 AL.1 3°, ART.L.4321-1, ART.R.4323-50,R.4323-53,R.4323-54,R.4324-30,R.4324-31,R.4324-32,R.4324-34,R.4324-35,R.4324-36,R.4324-37,R.4324-38,R.4324-39,R.4324-40,R.4324-41,R.4324-42,R.4324-43,R.4324-44,R.4324-45 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
25425;Délit;ORGANISATION DE VENTE VOLONTAIRE DE MEUBLE AUX ENCHERES PUBLIQUES PAR UN RESSORTISSANT CE NON DECLARE;ART.L.321-15 §I 2°, ART.L.321-24, ART.L.321-1, ART.L.321-3 C.COMMERCE.;ART.L.321-15 §I, §II C.COMMERCE.
25426;Délit;DIRECTION D'UNE VENTE VOLONTAIRE DE MEUBLE AUX ENCHERES PUBLIQUES PAR UN OPERATEUR NE REMPLISSANT PAS LES CONDITIONS POUR DIRIGER DE TELLES VENTES;ART.L.321-15 §I 3°, ART.L.321-4, ART.L.321-1, ART.L.321-3 C.COMMERCE.;ART.L.321-15 §I, §II C.COMMERCE.
25427;Délit;DIRECTION D'UNE VENTE VOLONTAIRE DE MEUBLE AUX ENCHERES PUBLIQUES PAR UN OPERATEUR AYANT FAIT L'OBJET D'UNE INTERDICTION DE DIRIGER DE TELLES VENTES;ART.L.321-15 §I 3°, §II 1°, ART.L.321-22 AL.7, ART.L.321-28, ART.L.321-1, ART.L.321-3 C.COMMERCE.;ART.L.321-15 §I, §II C.COMMERCE.
25428;Délit;REFUS DE FOURNIR A L'ADMINISTRATION DES INFORMATIONS SUR LES MODES DE GESTION DES DECHETS ET LES CONSEQUENCES DE LEUR MISE EN OEUVRE - PRODUCTEUR, IMPORTATEUR, EXPORTATEUR DE PRODUITS ENGENDRANT DES DECHETS;ART.L.541-46 §I 1°, ART.L.541-48, ART.L.541-9 §III, ART.L.541-2, ART.R.541-7, ART.R.541-8 C.ENVIR.;ART.L.541-46 §I AL.1, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
25429;Délit;FOURNITURE A L'ADMINISTRATION D'INFORMATIONS INEXACTES SUR LES MODES DE GESTION DES DECHETS ET LES CONSEQUENCES DE LEUR MISE EN OEUVRE - PRODUCTEUR, EXPORTATEUR, IMPORTATEUR DE PRODUITS ENGENDRANT DES DECHETS;ART.L.541-46 §I 1°, ART.L.541-48, ART.L.541-9 §III, ART.L.541-2, ART.R.541-7, ART.R.541-8 C.ENVIR.;ART.L.541-46 §I AL.1, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
25430;Contravention de classe 5;DISTRIBUTION DE PNEUMATIQUES SANS ASSURER LA REPRISE CONFORME DES PNEUMATIQUES USAGES;ART.R.541-166 1°, ART.R.541-161, ART.R.541-162, ART.R.541-159, ART.R.541-160 H), ART.L.541-10-1 16° C.ENVIR.;ART.R.541-166 AL.1, ART.L.173-7 C.ENVIR.
25433;Délit;OCCUPATION SANS TITRE OU EMPIETEMENT ENTRAINANT LA DESTRUCTION DE BOIS OU FORETS RELEVANT DU REGIME FORESTIER DANS LE DEPARTEMENT DE LA REUNION;ART.L.274-3 C.FORESTIER.;ART.L.274-3 C.FORESTIER.
25434;Contravention de classe 4;CONDUITE D'UN VEHICULE DE TRANSPORT EN COMMUN AVEC UNE CONCENTRATION D'ALCOOL PAR LITRE D'AU MOINS 0,20 GRAMME DANS LE SANG OU 0,10 MILLIGRAMME DANS L'AIR EXPIRE;ART.R.234-1 §I 1°, ART.L.234-1 §I C.ROUTE.;ART.R.234-1 §I AL.1,§III C.ROUTE.
25436;Contravention de classe 3;INTERDICTION D'UN LIEU OUVERT AU PUBLIC A UN CHIEN GUIDE D'AVEUGLE OU D'ASSISTANCE ACCOMPAGNANT UNE PERSONNE TITULAIRE D'UNE CARTE RECONNAISSANT SON HANDICAP;ART.R.241-23, ART.L.241-3 C.A.S.F. ART.88 LOI 87-588 DU 30/07/1987.;ART.R.241-23 C.A.S.F.
25437;Délit;MISE EN PLACE SANS AUTORISATION D'UNE INSTALLATION OU D'UN OUVRAGE NUISIBLE A L'EAU OU AU MILIEU AQUATIQUE;ART.L.173-1 §I 4°, ART.L.214-1, ART.L.214-3 §I, ART.L.181-14 AL.1, ART.L.181-15 AL.2, ART.R.181-46 §I, ART.R.214-1 C.ENVIR.;ART.L.173-1 §I AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR.
25442;Délit;VENTE, DISTRIBUTION OU OFFRE A TITRE GRATUIT DE PAQUET DE MOINS DE 20 CIGARETTES;ART.L.3515-3 §I 3°, ART.L.3512-14 C.SANTE.PUB.;ART.L.3515-3 §I AL.1, §II C.SANTE.PUB.
25443;Délit;REFUS DE DEFERER A UNE REQUISITION DE L'AUTORITE ADMINISTRATIVE EN CAS DE MENACE SANITAIRE GRAVE;ART.L.3136-1 AL.1, ART.L.3131-1 §I, ART.L.3131-8, ART.L.3131-9 C.SANTE.PUB.;ART.L.3136-1 AL.1 C.SANTE.PUB.
25444;Délit;EXPLOITATION D'UNE SOURCE D'EAU MINERALE NATURELLE SANS AUTORISATION;ART.L.1324-3 §I 3°, ART.L.1322-1 §I 1°, ART.R.1321-10 C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
25445;Délit;UTILISATION A DES FINS THERAPEUTIQUES DANS UN ETABLISSEMENT THERMAL D'EAU MINERALE NATURELLE SANS AUTORISATION;ART.L.1324-3 §I 3°, ART.L.1322-1 §I 3°, ART.R.1321-10 C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
25446;Délit;DISTRIBUTION EN BUVETTE D'EAU MINERALE NATURELLE SANS AUTORISATION;ART.L.1324-3 §I 3°, ART.L.1322-1 §I 4°, ART.R.1322-10 C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
25447;Délit;EXERCICE D'ACTIVITE, DEPOT OU INSTALLATION IRREGULIER DANS LE PERIMETRE DE PROTECTION D'UNE SOURCE D'EAU MINERALE NATURELLE DECLAREE D'INTERET PUBLIC;ART.L.1324-3 §I 5°, ART.L.1322-3, ART.L.1322-4 AL.2,AL.3 C.SANTE.PUB.;ART.L.1324-3 §I C.SANTE.PUB.
