Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
247;Délit;OUVERTURE IRREGULIERE D'UN DEBIT DE BOISSONS A CONSOMMER SUR PLACE DE 3ème OU 4ème CATEGORIE;ART.L.3352-2 AL.1 C.SANTE.PUB.;ART.L.3352-2, ART.L.3355-6 AL.1 C.SANTE.PUB.
251;Contravention de classe 3;NON PRESENTATION DES DOCUMENTS JUSTIFIANT L'EXERCICE REGULIER D'UNE ACTIVITE COMMERCIALE OU ARTISANALE AMBULANTE;ART.R.123-208-8 AL.2, ART.R.123-208-5, ART.R.123-208-3 AL.3,AL.4, ART.L.123-29 C.COMMERCE.;ART.R.123-208-8 AL.2 C.COMMERCE.
254;Contravention de classe 4;EXERCICE D'UNE ACTIVITE COMMERCIALE OU ARTISANALE AMBULANTE SANS DECLARATION PREALABLE;ART.R.123-208-8 AL.1, ART.R.123-208-2, ART.R.123-208-4 AL.1, ART.L.123-29 C.COMMERCE.;ART.R.123-208-8 AL.1 C.COMMERCE.
256;Contravention de classe 4;CIRCULATION DE VEHICULE EN SENS INTERDIT;ART.R.412-28 AL.1, ART.R.411-25 AL.1,AL.3 C.ROUTE.;ART.R.412-28 C.ROUTE.
257;Délit;BLESSURES ROUTIERES AVEC INCAPACITE N'EXCEDANT PAS 3 MOIS PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR SOUS L'EMPIRE D'UN ETAT ALCOOLIQUE;ART.221-20 AL.1 2° C.PENAL. ART.L.232-2, ART.L.234-1 §I, ART.R.234-1 AL.1 C.ROUTE.;ART.221-20 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
258;Délit;BLESSURES ROUTIERES AVEC INCAPACITE SUPERIEURE A 3 MOIS PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR SOUS L'EMPIRE D'UN ETAT ALCOOLIQUE;ART.221-19 AL.1 2° C.PENAL. ART.L.232-2, ART.L.234-1 §I, ART.R.234-1 AL.1 C.ROUTE.;ART.221-19 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
259;Délit;HOMICIDE ROUTIER PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR EN ETAT D'IVRESSE MANIFESTE;ART.221-18 AL.1 2° C.PENAL. ART.L.232-1 C.ROUTE.;ART.221-18 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
263;Contravention de classe 5;NON RESPECT DE L'EGALITE DE REMUNERATION ENTRE HOMMES ET FEMMES;ART.R.3222-1 AL.1, ART.L.3221-2, ART.L.3221-3, ART.L.3221-4, ART.L.3221-5, ART.L.3221-6 C.TRAVAIL.;ART.R.3222-1 AL.1, AL.2 C.TRAVAIL.
272;Contravention de classe 5;NON RESPECT DES REGLES RELATIVES A L'ALLAITEMENT ET A L'INTERDICTION D'EMPLOI PRENATAL OU POSTNATAL;ART.R.1227-6 AL.1, ART.L.1225-29, ART.L.1225-30, ART.L.1225-31, ART.L.1225-32, ART.R.1225-5 C.TRAVAIL.;ART.R.1227-6 AL.1 C.TRAVAIL.
277;Contravention de classe 5;EMPLOI IRREGULIER D'UN MINEUR DE 16 ANS PENDANT LES VACANCES SCOLAIRES;ART.R.4743-5 AL.1, ART.L.4153-1, ART.L.4153-2, ART.L.4153-3, ART.D.4153-1, ART.D.4153-2, ART.D.4153-3, ART.D.4153-4, ART.D.4153-5 C.TRAVAIL.;ART.R.4743-5 AL.1, ART.R.4743-6 AL.1 C.TRAVAIL.
282;Délit;DECLARATION FAUSSE OU INCOMPLETE POUR OBTENIR D'UN ORGANISME DE PROTECTION SOCIALE UNE ALLOCATION OU PRESTATION INDUE;ART.441-6 AL.2 C.PENAL.;ART.441-6, ART.441-10, ART.441-11, ART.131-26-2 C.PENAL.
284;Contravention de classe 5;NON AFFICHAGE DES NOM ET ADRESSE D'ENTREPRENEUR TRAVAILLANT SUR UN CHANTIER AYANT DONNE LIEU A PERMIS DE CONSTRUIRE - TRAVAIL DISSIMULE;ART.R.8224-1, ART.R.8221-1 AL.1 C.TRAVAIL.;ART.R.8224-1 C.TRAVAIL.
289;Délit;ENTRAVE A L'EXERCICE DU DROIT SYNDICAL;ART.L.2146-1, ART.L.2141-4, ART.L.2141-9 C.TRAVAIL.;ART.L.2146-1 C.TRAVAIL.
293;Délit;HOMICIDE INVOLONTAIRE DANS LE CADRE DU TRAVAIL;ART.221-6 AL.1 C.PENAL.;ART.221-6 AL.1, ART.221-8, ART.221-10, ART.131-30 AL.1 C.PENAL.
294;Délit;BLESSURES INVOLONTAIRES AVEC INCAPACITE SUPERIEURE A 3 MOIS DANS LE CADRE DU TRAVAIL;ART.222-19 AL.1 C.PENAL.;ART.222-19 AL.1, ART.222-44, ART.222-46 C.PENAL.
297;Délit;EMPLOI DE TRAVAILLEUR DANS UN LOCAL SANS RESPECT DES REGLES DE PREVENTION DES RISQUES D'INCENDIES ET EXPLOSION;ART.L.4741-1 AL.1 2°, ART.L.4221-1, R.4227-4, R.4227-5-A-12, R.4227-13, R.4227-14, R.4227-16-A-18, R.4227-22, R.4227-23-A-27, R.4227-28-A-33, R.4227-34-A-36, R.4227-37-A-41, R.4227-44-A-48, R.4227-49-A-51, R.4227-52-A-54 C.TRAVAIL.;ART.L.4741-1 AL.1,AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
299;Contravention de classe 5;BLESSURES INVOLONTAIRES AVEC INCAPACITE N'EXCEDANT PAS 3 MOIS DANS LE CADRE DU TRAVAIL;ART.R.625-2 C.PENAL.;ART.R.625-2, ART.R.625-4 C.PENAL.
320;Contravention de classe 5;BLESSURES INVOLONTAIRES AVEC INCAPACITE INFERIEURE OU EGALE A 3 MOIS LORS D'UNE ACTION DE CHASSE;ART.R.625-2 C.PENAL.;ART.R.625-2, ART.R.625-4 C.PENAL. ART.L.428-14 C.ENVIR.
321;Contravention de classe 5;CHASSE SANS PERMIS OU AUTORISATION DE CHASSER VALABLE;ART.R.428-3 §I 1°,2°, ART.L.423-1, ART.L.423-2, ART.L.423-21 C.ENVIR.;ART.R.428-3 §I, ART.R.428-22, ART.L.428-12, ART.L.428-14 AL.1, ART.L.173-7 2° C.ENVIR. ART.131-16 1°,2°,3°,5° C.PENAL.
323;Contravention de classe 5;CHASSE SUR LE TERRAIN D'AUTRUI SANS LE CONSENTEMENT DU PROPRIETAIRE OU DU DETENTEUR DU DROIT DE CHASSE;ART.R.428-1 §I 1°, ART.L.422-1 C.ENVIR.;ART.R.428-1 §I AL.1, ART.R.428-22, ART.L.173-7 2° C.ENVIR. ART.131-16 1°,2°,3°,4°,5° C.PENAL.
331;Contravention de classe 5;NON DECLARATION D'UN ANIMAL SUSPECT DE RAGE ET DE CEUX EVENTUELLEMENT CONTAMINES;ART.R.228-8 §III, ART.L.223-9 AL.3, ART.R.223-25 2°,4° C.RURAL.;ART.R.228-8 §III C.RURAL.
335;Contravention de classe 1;NON PRESENTATION DE CERTIFICAT DE VACCINATION ANTIRABIQUE VALABLE PAR PROPRIETAIRE OU DETENTEUR DE CARNIVORE DOMESTIQUE - DEPARTEMENT INFECTE DE RAGE;ART.R.228-8 §I, ART.R.223-29 C.RURAL.;ART.R.228-8 §I C.RURAL.
340;Délit;TROMPERIE SUR LA NATURE, LA QUALITE SUBSTANTIELLE OU L'ORIGINE D'UNE PRESTATION DE SERVICES;ART.L.454-1, ART.L.441-1 C.CONSOMMAT.;ART.L.454-1, ART.L.454-4, ART.L.454-5 AL.1, ART.L.454-7 C.CONSOMMAT.
341;Délit;EXECUTION DE TRAVAUX NON AUTORISES PAR UN PERMIS DE CONSTRUIRE;ART.L.421-1, ART.R.421-1, ART.R.421-14 C.URBANISME.;ART.L.480-4 AL.1, ART.L.480-5, L.480-7 C.URBANISME.
347;Contravention de classe 5;OCCUPATION D'UN IMMEUBLE DE GRANDE HAUTEUR AVANT LE CONTROLE DE SECURITE;ART.R.184-1 AL.2, ART.R.146-28, ART.R.146-1, ART.R.146-3 C.CONSTRUCT.;ART.R.184-1 AL.2,AL.1 C.CONSTRUCT.
349;Délit;OBTENTION DE COMMISSION SUPERIEURE A CELLE EN USAGE EN MATIERE DE LOGEMENT;ART.L.651-1 AL.4 C.CONSTRUCT.;ART.L.651-1 AL.4,AL.1 C.CONSTRUCT. ART.432-11 AL.1, ART.432-17, ART.131-30 AL.1 C.PENAL.
352;Délit;PRESENTATION DE COMPTES ANNUELS INEXACTS POUR DISSIMULER LA SITUATION D'UNE SOCIETE PAR ACTIONS;ART.L.242-6 2°, ART.L.242-30, ART.L.243-1, ART.L.244-1, ART.L.244-5, ART.L.246-2 C.COMMERCE.;ART.L.242-6 AL.1,AL.6, ART.L.249-1 C.COMMERCE. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
353;Délit;PRESENTATION DE COMPTES ANNUELS INEXACTS PAR GERANT DE SARL POUR DISSIMULER LA SITUATION DE LA SOCIETE;ART.L.241-3 3°, ART.L.241-9 C.COMMERCE.;ART.L.241-3 AL.1,AL.7, ART.L.249-1 C.COMMERCE. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
357;Délit;NON SOUMISSION DES COMPTES A L'APPROBATION DE L'ASSOCIE UNIQUE D'UNE E.U.A.R.L;ART.L.241-5, ART.L.223-31 C.COMMERCE.;ART.L.241-5, ART.L.249-1 C.COMMERCE.
359;Délit;DETOURNEMENT, PAR DIRIGEANT DE SOCIETE, DES ACTIONS DESTINEES A L'INTERESSEMENT DES SALARIES;ART.L.242-24 AL.2, ART.L.225-208, ART.L.242-30, ART.L.243-1, ART.L.244-1, ART.L.244-5, ART.L.246-2 C.COMMERCE.;ART.L.242-24, ART.L.249-1 C.COMMERCE.
360;Délit;AVANCE DE FONDS, PRET OU SURETE CONSENTIS PAR UNE SOCIETE POUR LA SOUSCRIPTION OU L'ACHAT DE SES ACTIONS PAR UN TIERS;ART.L.242-24 AL.2, ART.L.225-216, ART.L.242-30, ART.L.243-1, ART.L.244-1, ART.L.244-5, ART.L.246-2 C.COMMERCE.;ART.L.242-24, ART.L.249-1 C.COMMERCE.
367;Délit;DETENTION, PAR DIRIGEANT D'UNE SOCIETE PAR ACTIONS, D'ACTIONS A DIVIDENDE PRIORITAIRE DE LA SOCIETE;ART.L.245-4, ART.L.228-35-8, ART.L.245-16, ART.L.245-17 C.COMMERCE.;ART.L.245-4, ART.L.249-1 C.COMMERCE.
369;Délit;REPRESENTATION DES OBLIGATAIRES OU DE LA MASSE PAR DIRIGEANT OU EMPLOYE DE LA SOCIETE DEBITRICE OU GARANTE;ART.L.245-12 1°, ART.L.228-49 4°, ART.L.228-62, ART.L.245-16, ART.L.245-17 C.COMMERCE.;ART.L.245-12, ART.L.249-1 C.COMMERCE.
370;Délit;DIFFAMATION ENVERS UNE JURIDICTION, UNE ADMINISTRATION PUBLIQUE, UN CORPS CONSTITUE OU L'ARMEE PAR PAROLE, ECRIT, IMAGE OU MOYEN DE COMMUNICATION AU PUBLIC PAR VOIE ELECTRONIQUE;ART.30, ART.23 AL.1, ART.29 AL.1,ART.42 LOI DU 29/07/1881. ART.28 LOI 51-18 DU 05/01/1951. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.30 LOI DU 29/07/1881.
371;Délit;DIFFAMATION PUBLIQUE ENVERS UN FONCTIONNAIRE, UN DEPOSITAIRE DE L'AUTORITE PUBLIQUE OU UN CITOYEN CHARGE D'UN SERVICE PUBLIC PAR PAROLE, ECRIT, IMAGE OU MOYEN DE COMMUNICATION AU PUBLIC PAR VOIE ELECTRONIQUE;ART.31 AL.1, ART.23 AL.1, ART.29 AL.1, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.31 AL.1, ART.30 LOI DU 29/07/1881.
372;Délit;DIFFAMATION ENVERS PARTICULIER(S) PAR PAROLE, ECRIT, IMAGE OU MOYEN DE COMMUNICATION AU PUBLIC PAR VOIE ELECTRONIQUE;ART.32 AL.1, ART.23 AL.1, ART.29 AL.1, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.32 AL.1 LOI DU 29/07/1881.
373;Délit;DIFFAMATION PUBLIQUE EN RAISON DE L'ORIGINE, L'ETHNIE, LA NATION, LA RACE OU LA RELIGION PAR PAROLE, ECRIT, IMAGE OU MOYEN DE COMMUNICATION AU PUBLIC PAR VOIE ELECTRONIQUE;ART.32 AL.2, ART.23 AL.1, ART.29 AL.1, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.32 AL.2,AL.4,AL.5 LOI DU 29/07/1881.
374;Délit;EXPEDITION DE CORRESPONDANCE A DECOUVERT CONTENANT UNE DIFFAMATION - P&T;ART.1 AL.1 LOI DU 11/06/1887.;ART.1 AL.1 LOI DU 11/06/1887.
375;Délit;INJURE PUBLIQUE ENVERS UN CORPS CONSTITUE, UN FONCTIONNAIRE, UN DEPOSITAIRE DE L'AUTORITE OU UN CITOYEN CHARGE D'UN SERVICE PUBLIC PAR PAROLE, ECRIT, IMAGE OU MOYEN DE COMMUNICATION PAR VOIE ELECTRONIQUE;ART.33 AL.1, ART.30, ART.31, ART.23 AL.1, ART.29 AL.2, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.33 AL.1 LOI DU 29/07/1881.
376;Délit;INJURE PUBLIQUE ENVERS UN PARTICULIER PAR PAROLE, ECRIT, IMAGE OU MOYEN DE COMMUNICATION AU PUBLIC PAR VOIE ELECTRONIQUE;ART.33 AL.2, ART.23 AL.1, ART.29 AL.2, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.33 AL.2 LOI DU 29/07/1881.
377;Délit;INJURE PUBLIQUE EN RAISON DE L'ORIGINE, L'ETHNIE, LA NATION, LA RACE OU LA RELIGION;ART.33 AL.3, ART.23 AL.1, ART.29 AL.2, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.33 AL.3,AL.6,AL.7 LOI DU 29/07/1881.
378;Contravention de classe 5;EXPEDITION DE CORRESPONDANCE A DECOUVERT CONTENANT UNE INJURE - P&T;ART.1 AL.2 LOI DU 11/06/1887.;ART.1 AL.2 LOI DU 11/06/1887.
379;Délit;OUTRAGE A AGENT DE CONTROLE DE L'INSPECTION DU TRAVAIL;ART.433-5 AL.2 C.PENAL. ART.L.8114-2 C.TRAVAIL.;ART.433-5 AL.2, ART.433-22 C.PENAL. ART.L.8114-2 C.TRAVAIL.
381;Délit;EXPOSITION OU VENTE DE DENREE ALIMENTAIRE, BOISSON OU PRODUIT AGRICOLE FALSIFIE, CORROMPU OU TOXIQUE;ART.L.451-1-1, ART.L.413-1 2° C.CONSOMMAT.;ART.L.451-1-1, ART.L.451-5, ART.L.451-6 AL.1 C.CONSOMMAT.
393;Contravention de classe 5;DETENTION POUR VENTE, VENTE OU OFFRE DE DENREES ALIMENTAIRES APRES LA DATE LIMITE DE CONSOMMATION;ART.R.412-9, ART.L.412-1 C.CONSOMMAT. ART.24 REGLT.UE DU 25/10/2011.;ART.R.451-1 AL.1 C.CONSOMMAT.
394;Contravention de classe 5;DETENTION POUR VENTE, VENTE OU OFFRE DE DENREE ALIMENTAIRE ENTREPOSEE DANS DES CONDITIONS NON CONFORMES A L'ETIQUETAGE;ART.R.412-10,ART.L.412-1 C.CONSOMMAT.;ART.R.451-1 AL.1 C.CONSOMMAT.
399;Contravention de classe 5;TRANSPORT PUBLIC ROUTIER DE MARCHANDISES SANS COPIE CONFORME DE LA LICENCE DE TRANSPORT A BORD DU VEHICULE - ENTREPRISE RESIDANT EN FRANCE;ART.R.3452-44 4°, ART.R.3411-13 1°, ART.R.3211-12 C.TRANSPORTS. ART.6 AL.1, AL.2 ARR.MINIST DU 16/11/1999. ART.3, ART.4 REGLT.CE DU 21/10/2009.;ART.R.3452-44 AL.1 C.TRANSPORTS.
401;Délit;EXERCICE DE L'ACTIVITE DE TRANSPORTEUR PUBLIC ROUTIER DE MARCHANDISES SANS INSCRIPTION AU REGISTRE;ART.L.3452-6 1°, ART.L.3211-1, ART.R.3211-1, ART.R.3211-7, ART.R.3211-8, ART.R.3211-13, ART.R.3211-18 C.TRANSPORTS. ART.16 REGLT.CE DU 21/10/2009.;ART.L.3452-6 AL.1 C.TRANSPORTS.
402;Délit;EXERCICE DE L'ACTIVITE DE LOUEUR DE VEHICULE INDUSTRIEL AVEC CONDUCTEUR DESTINE AU TRANSPORT ROUTIER DE MARCHANDISES SANS INSCRIPTION AU REGISTRE;ART.L.3452-6 1°, ART.L.3211-1, ART.R.3211-1, ART.R.3211-7, ART.R.3211-8, ART.R.3211-13, ART.R.3211-18 C.TRANSPORTS.;ART.L.3452-6 AL.1 C.TRANSPORTS.
403;Délit;EXERCICE D'UNE ACTIVITE DE COMMISSIONNAIRE DE TRANSPORT SANS INSCRIPTION AU REGISTRE DES COMMISSIONNAIRES;ART.L.1452-3, ART.L.1422-1, ART.L.1422-3, ART.R.1411-1, ART.R.1422-1, ART.R.1422-24 AL.2, ART.R.1422-25 C.TRANSPORTS.;ART.L.1452-3 C.TRANSPORTS.
414;Délit;FOURNITURE DE FAUX RENSEIGNEMENTS LORS D'ENQUETE EN VUE D'UNE INSCRIPTION AU REGISTRE OU DE LA DELIVRANCE DE TITRE ADMINISTRATIF D'EXPLOITATION DE VEHICULES DE TRANSPORT ROUTIER;ART.L.3452-9 C.TRANSPORTS.;ART.L.3452-9 C.TRANSPORTS.
420;Délit;PROVOCATION PUBLIQUE ET DIRECTE NON SUIVIE D'EFFET A COMMETTRE UN CRIME OU UN DELIT;ART.24 AL.1,AL.4, ART.23 AL.1, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.24 AL.1, ART.61, ART.62 LOI DU 29/07/1881. ART.131-30 AL.1 C.PENAL.
422;Délit;PROVOCATION D'ASSUJETTI AU SERVICE NATIONAL A L'INSOUMISSION;ART.L.129 AL.1 C.SERV.NAT.;ART.L.129 AL.1 C.SERV.NAT. ART.131-30 AL.1 C.PENAL.
424;Délit;PROVOCATION DIRECTE, SUIVIE D'EFFET A UN ATTROUPEMENT ARME;ART.431-6 AL.2,AL.1, ART.431-3 C.PENAL.;ART.431-6 AL.2, ART.431-7, ART.131-30 AL.1 C.PENAL. ART.L.211-16 C.S.I.
425;Délit;PROVOCATION PUBLIQUE A LA DISCRIMINATION EN RAISON DE L'ORIGINE, L'ETHNIE, LA NATION, LA RACE OU LA RELIGION;ART.24 AL.7, ART.23 AL.1, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.24 AL.7,AL.10,AL.11,AL.12 LOI DU 29/07/1881. ART.131-26 2°,3° C.PENAL.
426;Délit;APOLOGIE PUBLIQUE DE CRIME OU DELIT;ART.24 AL.5, ART.23 AL.1, ART.42 LOI DU 29/07/1881. ART.93-3 LOI 82-652 DU 29/07/1982.;ART.24 AL.5,AL.1, ART.61 LOI DU 29/07/1881. ART.131-30 AL.1 C.PENAL.
427;Contravention douanière de classe 5;INJURE ENVERS UN AGENT DES DOUANES DANS L'EXERCICE DE SES FONCTIONS;ART.413-BIS 1°, ART.53 §1 A) C.DOUANES.;ART.413-BIS AL.1, ART.369 C.DOUANES.
428;Délit;CONTREFACON PAR EDITION OU REPRODUCTION D'UNE OEUVRE DE L'ESPRIT AU MEPRIS DES DROITS DE L'AUTEUR;ART.L.335-2 AL.1,AL.2, ART.L.335-3, ART.L.112-2, ART.L.121-8, ART.L.122-3, ART.L.122-4, ART.L.122-6 C.PROPR.INT.;ART.L.335-2 AL.2, ART.L.335-5 AL.1, ART.L.335-6 C.PROPR.INT.
429;Délit;CONTREFACON PAR DIFFUSION OU REPRESENTATION D'OEUVRE DE L'ESPRIT AU MEPRIS DES DROITS DE L'AUTEUR;ART.L.335-3, ART.L.335-2 AL.2, ART.L.112-2, ART.L.121-2 AL.1, ART.L.122-2, ART.L.122-4, ART.L.122-6 C.PROPR.INT.;ART.L.335-2 AL.2, ART.L.335-5 AL.1, ART.L.335-6 C.PROPR.INT.
433;Délit;PENETRATION SUR UN CHAMP DE COURSE MALGRE UNE MESURE D'EXCLUSION;ART.2,ART.1 LOI 42-737 DU 01/09/1942.;ART.2 LOI 42-737 DU 01/09/1942.
436;Délit;NON RECEPTION OU DESTRUCTION VOLONTAIRE DE DOCUMENT D'APPEL AU SERVICE NATIONAL;ART.L.133 C.SERV.NAT.;ART.L.133 C.SERV.NAT.
439;Délit;UTILISATION, CONSERVATION OU DIVULGATION D'UN DOCUMENT OU ENREGISTREMENT OBTENU PAR UNE ATTEINTE A L'INTIMITE DE LA VIE PRIVEE D'AUTRUI;ART.226-2 AL.1, ART.226-1 C.PENAL.;ART.226-2 AL.1, ART.226-1 AL.1, ART.226-31 C.PENAL.
440;Délit;DIFFUSION D'UN MONTAGE OU D'UN CONTENU GENERE PAR UN TRAITEMENT ALGORITHMIQUE NON APPARENT REPRESENTANT L'IMAGE OU LES PAROLES D'UNE PERSONNE SANS SON CONSENTEMENT;ART.226-8 AL.1 C.PENAL.;ART.226-8 AL.1, ART.226-31 C.PENAL.
441;Délit;REPRESENTATION OU MISE EN CIRCULATION D'UNE OEUVRE CINEMATOGRAPHIQUE DEPOURVUE DE VISA D'EXPLOITATION;ART.L.432-1, ART.L.211-1 C.CINEMA.;ART.L.432-1, ART.L.432-3 C.CINEMA.
450;Délit;REPRESENTATION OU MISE EN CIRCULATION D'UNE OEUVRE CINEMATOGRAPHIQUE EN VIOLATION DES CONDITIONS MENTIONNEES DANS SON VISA D'EXPLOITATION;ART.L.432-1, ART.L.211-1 C.CINEMA.;ART.L.432-1, ART.L.432-3 C.CINEMA.
466;Contravention de classe 4;TRANSPORT DE DENREES ANIMALES OU D'ORIGINE ANIMALE AVEC UN ENGIN SANS MARQUES D'IDENTIFICATION CONFORMES;ART.R.237-7 1°, ART.R.231-45 §II AL.1, ART.R.231-44 C.RURAL. ANX.1 APP.4 ATP DU 01/09/1970. ART.3 ARR.MINIST DU 27/11/2020.;ART.R.237-7 AL.1 C.RURAL.
472;Délit;ABUS DE LA FAIBLESSE OU DE L'IGNORANCE D'UNE PERSONNE DEMARCHEE : SOUSCRIPTION D'UN ENGAGEMENT;ART.L.132-14 AL.1, ART.L.121-8, ART.L.121-9 C.CONSOMMAT.;ART.L.132-14, ART.L.132-15 AL.1, AL.2 C.CONSOMMAT. ART.131-30 AL.1 C.PENAL.
496;Délit;USAGE DE FAUX DOCUMENT ADMINISTRATIF CONSTATANT UN DROIT,UNE IDENTITE OU UNE QUALITE, OU ACCORDANT UNE AUTORISATION;ART.441-2 AL.2,AL.1, ART.441-1 AL.1 C.PENAL.;ART.441-2 AL.2,AL.1, ART.441-10, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
497;Délit;RECEL DE BIEN OBTENU A L'AIDE D'UNE ESCROQUERIE;ART.321-1 AL.1,AL.2, ART.313-1 C.PENAL.;ART.321-1 AL.3, ART.321-3, ART.321-9, ART.321-10, ART.313-7, ART.313-8, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
498;Délit;RECEL DE BIEN OBTENU A L'AIDE D'UN ABUS DE CONFIANCE;ART.321-1 AL.1,AL.2, ART.314-1 C.PENAL.;ART.321-1 AL.3, ART.321-3, ART.321-9, ART.321-10, ART.314-10, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
499;Délit;RECEL DE FAUX EN ECRITURE;ART.321-1 AL.1,AL.2, ART.441-1 AL.1 C.PENAL.;ART.321-1 AL.3, ART.321-3, ART.321-9, ART.321-10, ART.441-10, ART.131-30 AL.1 C.PENAL.
507;Délit;RECEL DE FAUX DOCUMENT ADMINISTRATIF;ART.321-1 AL.1,AL.2, ART.441-2 AL.1, ART.441-1 AL.1 C.PENAL.;ART.321-1 AL.3, ART.321-3, ART.321-9, ART.321-10, ART.441-10, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
526;Délit;ABUS, PAR UN GERANT DE SARL, DE SES POUVOIRS OU DE SES VOIX, A DES FINS PERSONNELLES;ART.L.241-3 5°, ART.L.241-9 C.COMMERCE.;ART.L.241-3 AL.1,AL.7, ART.L.249-1 C.COMMERCE. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
527;Délit;ABUS, PAR UN DIRIGEANT DE SOCIETE PAR ACTIONS, DE SES POUVOIRS OU DE SES VOIX, A DES FINS PERSONNELLES;ART.L.242-6 4°, ART.L.242-30, ART.L.243-1, ART.L.244-1, ART.L.244-5, ART.L.246-2 C.COMMERCE.;ART.L.242-6 AL.1,AL.6, ART.L.249-1 C.COMMERCE. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
528;Délit;REPARTITION DE DIVIDENDES FICTIFS PAR GERANT DE SARL;ART.L.241-3 2°, ART.L.241-9 C.COMMERCE.;ART.L.241-3 AL.1,AL.7, ART.L.249-1 C.COMMERCE. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
529;Délit;REPARTITION DE DIVIDENDES FICTIFS DANS UNE SOCIETE PAR ACTIONS;ART.L.242-6 1°, ART.L.242-30, ART.L.243-1, ART.L.244-1, ART.L.244-5, ART.L.246-2 C.COMMERCE.;ART.L.242-6 AL.1,AL.6, ART.L.249-1 C.COMMERCE. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
530;Délit;MAJORATION FRAUDULEUSE DE LA VALEUR D'APPORT EN NATURE DANS UNE SARL;ART.L.241-3 1°, ART.L.223-9 C.COMMERCE.;ART.L.241-3 AL.1,AL.7, ART.L.249-1 C.COMMERCE. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
531;Délit;MAJORATION FRAUDULEUSE DE LA VALEUR D'UN APPORT EN NATURE - SOCIETE PAR ACTIONS;ART.L.242-2 4°, ART.L.242-21, ART.L.243-1 AL.1, ART.L.244-1 AL.1, ART.L.244-5, ART.L.246-2 C.COMMERCE.;ART.L.242-2, ART.L.249-1 C.COMMERCE. ART.131-30 AL.1 C.PENAL.
533;Délit;PARTICIPATION ILLEGALE A L'ASSEMBLEE DES OBLIGATAIRES PAR DIRIGEANT DE SOCIETE;ART.L.245-12 2°, ART.L.245-16, ART.L.245-17 C.COMMERCE.;ART.L.245-12, ART.L.249-1 C.COMMERCE.
535;Délit;REPRESENTATION FRAUDULEUSE DES OBLIGATAIRES PAR DIRIGEANT OU EMPLOYE DE SOCIETE DEBITRICE OU GARANTE;ART.L.245-12 1°, ART.L.245-15, ART.L.228-49 4°, ART.L.228-62, ART.L.245-16, ART.L.245-17 C.COMMERCE.;ART.L.245-15, ART.L.249-1 C.COMMERCE. ART.131-30 AL.1 C.PENAL.
538;Délit;PARTICIPATION FRAUDULEUSE A L'ASSEMBLEE DES OBLIGATAIRES PAR DIRIGEANT DE SOCIETE;ART.L.245-12 2°, ART.L.245-15, ART.L.245-16, ART.L.245-17 C.COMMERCE.;ART.L.245-15, ART.L.249-1 C.COMMERCE. ART.131-30 AL.1 C.PENAL.
539;Délit;EXERCICE ILLEGAL DE LA PROFESSION D'EXPERT-COMPTABLE;ART.20 AL.1,AL.2,AL.3, ART.2, ART.3 ORD 45-2138 DU 19/09/1945.;ART.20 AL.1 ORD 45-2138 DU 19/09/1945. ART.433-17 C.PENAL.
545;Délit;DEFAUT D'INFORMATION DE LA PART D'UNE PERSONNE AYANT UNE PARTICIPATION SIGNIFICATIVE DANS UNE SOCIETE;ART.L.247-2 I, ART.L.233-7, ART.L.247-9 C.COMMERCE. ART.L.465-4 C.M.F.;ART.L.247-2 I, ART.L.249-1 C.COMMERCE.
