INSEE_COM,C,5;NOM_COM,C,50;long_centr,N,11,7;lat_centro,N,11,7;INSEE_DEP,C,3;commune_ac,N,1,0;date_mod2,C,24
17202;Landes;-0,6002971;45,9951083;17;1;2018/01/01 00:00:00.000
57425;Luppy;6,341066;48,9810987;57;1;2018/01/01 00:00:00.000
88480;Ubexy;6,2799221;48,3371116;88;1;2018/01/01 00:00:00.000
88328;Nompatelize;6,8557792;48,3295638;88;1;2018/01/01 00:00:00.000
57048;Bannay;6,4642074;49,1217013;57;1;2018/01/01 00:00:00.000
54276;Jeandelaincourt;6,2435846;48,846872;54;1;2018/01/01 00:00:00.000
24008;Angoisse;1,150554;45,4303612;24;1;2018/01/01 00:00:00.000
57642;Scy-Chazelles;6,1196353;49,1141173;57;1;2018/01/01 00:00:00.000
24339;Preyssac-d'Excideuil;1,1073283;45,3420801;24;1;2018/01/01 00:00:00.000
54502;Serres;6,4548965;48,69153;54;1;2018/01/01 00:00:00.000
54032;Autrey;6,1266601;48,5320312;54;1;2018/01/01 00:00:00.000
54224;Germonville;6,2180329;48,4098743;54;1;2018/01/01 00:00:00.000
57159;Créhange;6,5745511;49,0505986;57;1;2018/01/01 00:00:00.000
40114;Gourbera;-1,0480496;43,8077268;40;1;2018/01/01 00:00:00.000
57017;Amanvillers;6,0463015;49,1599379;57;1;2018/01/01 00:00:00.000
57715;Vigny;6,2533334;48,9683193;57;1;2018/01/01 00:00:00.000
09209;Montjoie-en-Couserans;1,1756179;43,0154038;09;1;2018/01/01 00:00:00.000
24416;Saint-Germain-de-Belvès;1,0358787;44,8068665;24;1;2018/01/01 00:00:00.000
54433;Port-sur-Seille;6,1592851;48,8995763;54;1;2018/01/01 00:00:00.000
46005;Anglars-Juillac;1,2082722;44,486335;46;1;2018/01/01 00:00:00.000
54317;Lironville;5,9122363;48,8676101;54;1;2018/01/01 00:00:00.000
32306;Pauilhac;0,6209701;43,8840494;32;1;2018/01/01 00:00:00.000
88036;Barville;5,7698898;48,3781139;88;1;2018/01/01 00:00:00.000
17356;Saint-Loup;-0,6478496;45,9998484;17;1;2018/01/01 00:00:00.000
57652;Sillegny;6,1473769;48,9871191;57;1;2018/01/01 00:00:00.000
17350;Saint-Julien-de-l'Escap;-0,4850764;45,9284694;17;1;2018/01/01 00:00:00.000
88504;Vicherey;5,9359328;48,3833695;88;1;2018/01/01 00:00:00.000
88350;Pleuvezain;5,9157015;48,3768236;88;1;2018/01/01 00:00:00.000
54016;Andilly;5,8874667;48,7674058;54;1;2018/01/01 00:00:00.000
54021;Armaucourt;6,2990162;48,8123399;54;1;2018/01/01 00:00:00.000
57122;Cappel;6,8433742;49,0763968;57;1;2018/01/01 00:00:00.000
57648;Servigny-lès-Raville;6,4399627;49,0791057;57;1;2018/01/01 00:00:00.000
31018;Arnaud-Guilhem;0,8995475;43,1462869;31;1;2018/01/01 00:00:00.000
24379;Saint-Avit-Sénieur;0,8245025;44,7748153;24;1;2018/01/01 00:00:00.000
57146;Coin-lès-Cuvry;6,1369412;49,0253713;57;1;2018/01/01 00:00:00.000
54392;Moutrot;5,8966973;48,6023676;54;1;2018/01/01 00:00:00.000
09266;Saint-Julien-de-Gras-Capou;1,8565202;43,0367409;09;1;2018/01/01 00:00:00.000
57373;Lachambre;6,7539483;49,0791302;57;1;2018/01/01 00:00:00.000
57405;Lindre-Haute;6,7558364;48,8195578;57;1;2018/01/01 00:00:00.000
57249;Glatigny;6,3484628;49,1421119;57;1;2018/01/01 00:00:00.000
54225;Gézoncourt;5,9855447;48,8430341;54;1;2018/01/01 00:00:00.000
57120;Burlioncourt;6,5797756;48,8620183;57;1;2018/01/01 00:00:00.000
32286;Montestruc-sur-Gers;0,6284325;43,793786;32;1;2018/01/01 00:00:00.000
55474;Sauvigny;5,7359694;48,5017843;55;1;2018/01/01 00:00:00.000
17049;Blanzay-sur-Boutonne;-0,4262043;46,0546589;17;1;2018/01/01 00:00:00.000
54006;Agincourt;6,2354634;48,7298267;54;1;2018/01/01 00:00:00.000
57232;Francaltroff;6,7955715;48,9623775;57;1;2018/01/01 00:00:00.000
09178;Malegoude;1,9338162;43,1121467;09;1;2018/01/01 00:00:00.000
31110;Cassagne;0,9917383;43,1242609;31;1;2018/01/01 00:00:00.000
54147;Crion;6,5737852;48,6440089;54;1;2018/01/01 00:00:00.000
42193;Rozier-en-Donzy;4,2731409;45,8031361;42;1;2018/01/01 00:00:00.000
88094;Châtel-sur-Moselle;6,401004;48,3199227;88;1;2018/01/01 00:00:00.000
09153;Lapenne;1,7755881;43,1446956;09;1;2018/01/01 00:00:00.000
54467;Rozelieures;6,4304945;48,4471042;54;1;2018/01/01 00:00:00.000
79057;Brioux-sur-Boutonne;-0,2187546;46,1420736;79;1;2018/01/01 00:00:00.000
54201;Fontenoy-la-Joûte;6,6560421;48,4486326;54;1;2018/01/01 00:00:00.000
09098;Contrazy;1,2065122;43,0577868;09;1;2018/01/01 00:00:00.000
54437;Pulligny;6,1520177;48,5490829;54;1;2018/01/01 00:00:00.000
54554;Vaudigny;6,203638;48,4382712;54;1;2018/01/01 00:00:00.000
32370;Saint-Clar;0,7612714;43,8924389;32;1;2018/01/01 00:00:00.000
88428;Saint-Michel-sur-Meurthe;6,8769125;48,3117044;88;1;2018/01/01 00:00:00.000
79336;Vançais;0,043835;46,3033542;79;1;2018/01/01 00:00:00.000
54560;Veney;6,813161;48,4610805;54;1;2018/01/01 00:00:00.000
79297;Sainte-Soline;0,0484672;46,2517718;79;1;2018/01/01 00:00:00.000
54072;Bezaumont;6,1032963;48,8488137;54;1;2018/01/01 00:00:00.000
54216;Froville;6,3647577;48,4692617;54;1;2018/01/01 00:00:00.000
47067;Clermont-Soubiran;0,8487538;44,1412278;47;1;2018/01/01 00:00:00.000
88424;Sainte-Marguerite;6,9722294;48,2675218;88;1;2018/01/01 00:00:00.000
86098;Fleix;0,7476995;46,5582966;86;1;2018/01/01 00:00:00.000
31294;Lespiteau;0,7619828;43,0661995;31;1;2018/01/01 00:00:00.000
54214;Frolois;6,1267844;48,5720115;54;1;2018/01/01 00:00:00.000
88232;Harmonville;5,8720147;48,4649382;88;1;2018/01/01 00:00:00.000
88395;Romont;6,5807732;48,3469288;88;1;2018/01/01 00:00:00.000
57035;Assenoncourt;6,7990363;48,7667207;57;1;2018/01/01 00:00:00.000
55586;Xivray-et-Marvoisin;5,7296369;48,8668793;55;1;2018/01/01 00:00:00.000
31306;Lourde;0,6578762;42,9848301;31;1;2018/01/01 00:00:00.000
88318;Moyemont;6,5444828;48,3443072;88;1;2018/01/01 00:00:00.000
82065;Gasques;0,9113915;44,1489659;82;1;2018/01/01 00:00:00.000
54026;Athienville;6,4867101;48,7177989;54;1;2018/01/01 00:00:00.000
57424;Lucy;6,4776263;48,9406373;57;1;2018/01/01 00:00:00.000
82035;Caumont;0,9968763;44,020885;82;1;2018/01/01 00:00:00.000
54161;Domèvre-sur-Vezouze;6,8011594;48,5609524;54;1;2018/01/01 00:00:00.000
57483;Morhange;6,6426536;48,9278948;57;1;2018/01/01 00:00:00.000
57238;Fresnes-en-Saulnois;6,439557;48,8389374;57;1;2018/01/01 00:00:00.000
50188;Folligny;-1,4180202;48,8201366;50;1;2018/01/01 00:00:00.000
57440;Manhoué;6,3419746;48,826403;57;1;2018/01/01 00:00:00.000
04216;Thèze;5,9245644;44,329567;04;1;2018/01/01 00:00:00.000
87193;Surdoux;1,6495794;45,6051692;87;1;2018/01/01 00:00:00.000
40257;Sainte-Eulalie-en-Born;-1,2140612;44,2780504;40;1;2018/01/01 00:00:00.000
86094;Dienné;0,5376262;46,4418647;86;1;2018/01/01 00:00:00.000
88002;Ahéville;6,1998404;48,2848476;88;1;2018/01/01 00:00:00.000
