fid;NOM_COM;INSEE_COM;UNI_BATI;BDP_BATI;MAJIC;ERP;ID;NOM_COMM;INSEE_COMM;STATUT;X_COMMUNE;Y_COMMUNE;SUPERFICIE;POPULATION;INSEE_ARR;NOM_DEPT;INSEE_DEPT;NOM_REGION;INSEE_REG
182;Combertault;21185;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
183;Comblanchien;21186;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
184;Commarin;21187;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
188;Corcelles-les-Monts;21192;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
190;Corgoloin;21194;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
193;Corpoyer-la-Chapelle;21197;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
194;Corrombles;21198;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
195;Corsaint;21199;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
196;Couchey;21200;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
199;Courcelles-Frémoy;21203;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
200;Courcelles-lès-Montbard;21204;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
201;Courcelles-lès-Semur;21205;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
